,번호,카테고리,제목,등록일,url
0,5851,[장학],그루터기 학습멘토링  같이에듀 4기 대학생 멘토 모집 안내,2023-12-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470636&article.offset=0&articleLimit=100
1,5850,[장학],2024년 국립청소년인터넷드림마을 1기 캠프 멘토 모집 안내,2023-12-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470635&article.offset=0&articleLimit=100
2,5849,[수업],"[참여] KIT수요포럼 개최에 따른 학생 참여 안내(주제:""강의계획서, 강의평가 내실화 방안 의견 나누기"")",2023-12-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470460&article.offset=0&articleLimit=100
3,5848,[장학],[근로] 2023-2학기 방학 중 부서별 근로장학생 모집 알림[12. 6.(수)10시~12. 11.(월)24시],2023-12-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470415&article.offset=0&articleLimit=100
4,5847,[학적],2024학년도 스마트공장융합전공 학생 모집 설명회 개최,2023-12-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470351&article.offset=0&articleLimit=100
5,5846,,2023 학생창업자 지원 안내,2023-12-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470332&article.offset=0&articleLimit=100
6,5845,[수업],2023학년도 겨울 계절수업 [수강료 납부 후] 수강취소 관련 안내,2023-12-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470290&article.offset=0&articleLimit=100
7,5844,[수업],2023학년도 겨울 계절수업 수강료 추가납부(최종) 안내,2023-12-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470242&article.offset=0&articleLimit=100
8,5843,[수업],2023학년도 겨울 계절수업 다른대학(서울과기대) 수학신청 안내,2023-12-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470128&article.offset=0&articleLimit=100
9,5842,[수업],2023학년도 2학기 학부(과) 강의평가(2차) 시행 안내,2023-12-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470100&article.offset=0&articleLimit=100
10,5841,[대학원],2023-2학기 대학원별 강의평가(2차) 시행 안내,2023-11-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470081&article.offset=0&articleLimit=100
11,5840,[장학],2024년 신규 협성장학생 선발 안내,2023-11-30,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=470039&article.offset=0&articleLimit=100
12,5839,,금오공과대학교 학칙 일부 개정(안)에 대한 의견수렴,2023-11-29,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469985&article.offset=0&articleLimit=100
13,5838,[수업],[11.30-12.1]2023학년도 겨울 계절수업 수강료 납부 및 변경사항 안내,2023-11-23,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469765&article.offset=0&articleLimit=100
14,5837,[장학],2024년 삼성드림클래스 대학생멘토 선발 안내,2023-11-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469669&article.offset=0&articleLimit=100
15,5836,[장학],2023년 2학기 동계방학「한국장학재단 취업연계유형 국가근로」참여학생 모집(~11/30까지),2023-11-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469627&article.offset=0&articleLimit=100
16,5835,[장학],2024학년도 1학기 국가장학금 신청 안내,2023-11-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469584&article.offset=0&articleLimit=100
17,5834,[장학],2023년도 영·호남 상생 유공 장학생 선발 안내,2023-11-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469384&article.offset=0&articleLimit=100
18,5833,[학적],[취업진로교육] 2023년 2학기 취업진로교육 대체이수 신청 접수 안내,2023-11-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469383&article.offset=0&articleLimit=100
19,5832,[장학],2023년도 하반기 강화군 대학생 등록금 지원사업 안내,2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469304&article.offset=0&articleLimit=100
20,5831,[장학],[근로]2024학년도 1학기 1차 국가근로장학금 학생신청 안내[2023.11.22.(수)~12.27.(수)],2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469285&article.offset=0&articleLimit=100
21,5830,[장학],[장학] 2024-1학기 교내 성적장학생 선발관련 외국어성적표 제출안내(기한엄수),2023-11-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469225&article.offset=0&articleLimit=100
22,5829,,현직 개발자가 강의하는 2023 제2차 UR로봇 교육 과정 강좌 운영 안내,2023-11-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469183&article.offset=0&articleLimit=100
23,5828,[장학],2023학년도 국가근로장학금 동계방학 (교외)집중근로 희망근로지 신청 안내,2023-11-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469143&article.offset=0&articleLimit=100
24,5827,[수업],"2023학년도 겨울 계절수업 다른대학(강릉원주대, 계명대(변경), 공주대,한경국립대) 수학신청 안내",2023-11-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=469101&article.offset=0&articleLimit=100
25,5826,[대학원],[장학] 대학원 장학 관련 안내는 금오톡톡 알림(문자는 미발송)-금오톡톡 설치 필수,2023-11-09,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468977&article.offset=0&articleLimit=100
26,5825,[수업],[참여] KIT수요포럼 개최에 따른 학생 참여 안내(주제:비교과 졸업자격인증제 개편 관련),2023-11-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468876&article.offset=0&articleLimit=100
27,5824,[장학],2023년도 통영시 저소득 대학생 장학금 지원대상자 선발 안내,2023-11-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468759&article.offset=0&articleLimit=100
28,5823,[장학],2024년 아산사회복지재단 북한이탈청소년장학생 선발 안내,2023-11-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468758&article.offset=0&articleLimit=100
29,5822,[대학원],도서관 Clarivate 온라인 이용교육 일정 안내(11월),2023-11-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=468743&article.offset=0&articleLimit=100
30,5821,[수업],대구·경북권 국립대학 공동교육과정 및 비교과프로그램 개발·운영을 위한 설문조사,2023-11-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466969&article.offset=0&articleLimit=100
31,5820,,[모집마감]K7U-Belt 창업 아이디어 경진대회 개최,2023-11-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466923&article.offset=0&articleLimit=100
32,5819,[성적],2023학년도 2학기 해외어학연수 학점인정 신청 안내,2023-11-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466908&article.offset=0&articleLimit=100
33,5818,[수업],(11/20~11/21) 2023년 겨울 계절수업 개설과목 및 수강신청 안내(시간표 변경),2023-11-03,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466905&article.offset=0&articleLimit=100
34,5817,[학적],2023-2학기 공학교육인증 변경 신청 안내,2023-11-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466705&article.offset=0&articleLimit=100
35,5816,[학적],2024학년도 전과 및 전공변경 신청 안내,2023-11-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466671&article.offset=0&articleLimit=100
36,5815,[학적],2023학년도 2학기 추가이수과정(복수·부·연계·융합전공) 이수 포기(변경) 신청 안내,2023-11-01,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466667&article.offset=0&articleLimit=100
37,5814,[대학원],"2024학년도 전기 대학원별(일반, 산업, 교육 및 컨설팅) 신입생 모집 및 원서접수 안내",2023-10-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466547&article.offset=0&articleLimit=100
38,5813,[수업],2023학년도 2학기 원격수업 강의평가(1차) 재연장 안내,2023-10-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466538&article.offset=0&articleLimit=100
39,5812,[대학원],2024 Spring Semester Graduate School Admission Guidelines for International Students,2023-10-31,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466528&article.offset=0&articleLimit=100
40,5811,[장학],2024년도 전기공사공제조합장학회 제19기 장학생 선발,2023-10-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466378&article.offset=0&articleLimit=100
41,5810,[수업],"2023학년도 겨울 계절수업 다른대학(한국해양대,경북대,숙명여대) 수학신청 안내",2023-10-26,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466313&article.offset=0&articleLimit=100
42,5809,[수업],"2023학년도 겨울 계절수업 다른대학(안동대,대구대,한양대,군산대) 수학신청 안내(제출기한변경)",2023-10-23,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=466024&article.offset=0&articleLimit=100
43,5808,[장학],2023학년도 총동창회 장학생 선발 공고,2023-10-20,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465902&article.offset=0&articleLimit=100
44,5807,[수업],"2023학년도 겨울 계절수업 다른대학(순천대,부경대,제주대,한국교원대) 수학신청 안내(제출기한변경)",2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465807&article.offset=0&articleLimit=100
45,5806,[장학],(재)수림재단 제10회 동교인재상 선발 안내,2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465791&article.offset=0&articleLimit=100
46,5805,[장학],[근로]2023년 2학기 국가근로장학금 추가신청기간 안내[11.1.(수)~10.(금)],2023-10-19,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465790&article.offset=0&articleLimit=100
47,5804,[대학원],[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 추가 지원 안내,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465757&article.offset=0&articleLimit=100
48,5803,[대학원],2023학년도 전기 대학원별 학위논문심사 신청 안내,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465693&article.offset=0&articleLimit=100
49,5802,[수업],2023학년도 겨울 계절학기 자율도전학점제(자기주도형 활동) 참여자 모집,2023-10-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465674&article.offset=0&articleLimit=100
50,5801,[대학원],2023-2학기 대학원별 졸업종합시험 결과 발표,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465655&article.offset=0&articleLimit=100
51,5800,[대학원],2023-2학기 대학원별 외국어시험 면제 신청 승인 결과 확인 안내,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465570&article.offset=0&articleLimit=100
52,5799,[대학원],2023-2학기 대학원별 원격수업 운영 강좌 강의평가(1차) 시행 안내,2023-10-17,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465564&article.offset=0&articleLimit=100
53,5798,[장학],2023년 대구광역시 저소득주민 장학생 선발계획 안내,2023-10-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465468&article.offset=0&articleLimit=100
54,5797,[수업],2023학년도 2학기 원격수업 강의평가(1차) 실시 안내,2023-10-16,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465458&article.offset=0&articleLimit=100
55,5796,[수업],2023학년도 겨울 계절수업 운영알림(수강신청 11.20-11.21),2023-10-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465405&article.offset=0&articleLimit=100
56,5795,[수업],2023년도 겨울계절수업  개설희망 과목 학생수요조사 실시 안내,2023-10-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465239&article.offset=0&articleLimit=100
57,5794,[수업],"2023학년도 겨울 계절수업 다른대학(충북대,서울대,창원대,충남대) 수학신청 안내",2023-10-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465231&article.offset=0&articleLimit=100
58,5793,[수업],[11/3(금)] 2023-2학기 졸업전공시험 실시 안내,2023-10-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465174&article.offset=0&articleLimit=100
59,5792,[수업],2023-2학기 출석미달(주의) 대상자 알림,2023-10-11,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465135&article.offset=0&articleLimit=100
60,5791,[장학],2023년 하반기 울산연구원 장학생 선발 공고 안내,2023-10-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=465049&article.offset=0&articleLimit=100
61,5790,[수업],2023학년도 2학기 취업진로교육 졸업의무과정 시행 안내,2023-10-10,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464980&article.offset=0&articleLimit=100
62,5789,,[근로][마감] 2023-2학기 프랭크버거(생협) 근로장학생(조리보조) 추가모집,2023-10-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464673&article.offset=0&articleLimit=100
63,5788,,[근로][마감] 2023-2학기 분식당(생협) 근로장학생(식기세척) 추가모집,2023-10-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464670&article.offset=0&articleLimit=100
64,5787,[대학원],[2023년도 국립대학 육성사업] 대학원생 학술활동 참가비 지원 마감 안내(재원 소진),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464514&article.offset=0&articleLimit=100
65,5786,[대학원],도서관 DBpia 이용교육 안내(10월),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464419&article.offset=0&articleLimit=100
66,5785,[대학원],도서관 KSDC DB 이용교육 안내(10월),2023-10-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464409&article.offset=0&articleLimit=100
67,5784,[대학원],2023-2학기 대학원별 지도교수 배정 신청 안내,2023-09-27,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464297&article.offset=0&articleLimit=100
68,5783,[장학],[마감]2023학년도 2학기 푸름관 식당 자체 근로장학생(식기세척) 추가 모집,2023-09-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464088&article.offset=0&articleLimit=100
69,5782,[장학],통영시 대학생 등록금 전액 지원사업 안내,2023-09-25,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=464083&article.offset=0&articleLimit=100
70,5781,[대학원],2023-2학기 대학원별 졸업종합시험 일시 및 장소 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463963&article.offset=0&articleLimit=100
71,5780,[대학원],2023-2학기 대학원별 외국어시험 면제 신청 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463933&article.offset=0&articleLimit=100
72,5779,[대학원],2023-2학기 대학원별 성적취소 신청 안내,2023-09-22,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463926&article.offset=0&articleLimit=100
73,5778,[등록],2023학년도 2학기 등록금 분할납부 2차분 등록기간 안내,2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463880&article.offset=0&articleLimit=100
74,5777,[등록],2023학년도 2학기 등록금 납부 안내(최종: 2023.9.25.~26.),2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463875&article.offset=0&articleLimit=100
75,5776,[학적],2023학년도 2학기 성적취소 신청 안내,2023-09-21,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463766&article.offset=0&articleLimit=100
76,5775,[장학],2023년 2학기 안산시 대학생 본인부담 등록금 반값지원 안내,2023-09-18,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463404&article.offset=0&articleLimit=100
77,5774,[등록],2023학년도 2학기 등록금 납부 안내(최종),2023-09-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463290&article.offset=0&articleLimit=100
78,5773,[장학],2023년 2학기 「한국장학재단 취업연계유형 국가근로」  ㈜ 에스테크원 참여학생 모집,2023-09-15,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463211&article.offset=0&articleLimit=100
79,5772,[장학],2023년 고속도로 장학생 선발 안내,2023-09-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=463011&article.offset=0&articleLimit=100
80,5771,[수업],수업 중 실시간  출결 처리 시 전자출결 앱 사용 유의사항 안내,2023-09-14,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462992&article.offset=0&articleLimit=100
81,5770,,2023 글로컬마케터 전문가 양성  프로그램 지원자 모집  ,2023-09-13,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462931&article.offset=0&articleLimit=100
82,5769,[대학원],[장학] 대학원생 장학금 지급 계좌 등록 방법 안내,2023-09-12,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462752&article.offset=0&articleLimit=100
83,5768,[등록],2023학년도 2학기 등록금 납부 안내(추가3차),2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462303&article.offset=0&articleLimit=100
84,5767,[성적],[10/4-10/6] 2023-2학기 군복무 중 취득학점 인정 신청 안내,2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462248&article.offset=0&articleLimit=100
85,5766,[장학],2023-2학기 중소기업 취업연계 장학사업(희망사다리 I유형) 신규장학생 신청 안내,2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462166&article.offset=0&articleLimit=100
86,5765,[장학],2023-2학기 고졸 후학습자 장학사업(희망사다리 II유형) 신규장학생 신청 안내(신청기간 연장),2023-09-08,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462159&article.offset=0&articleLimit=100
87,5764,[대학원],2023학년도 2학기 전자저널 및 온라인 학술DB 이용안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462115&article.offset=0&articleLimit=100
88,5763,[등록],2023-2학기 의사순회진료 실시 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462058&article.offset=0&articleLimit=100
89,5762,[등록],'생명 나눔 사랑의 헌혈' 실시 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462043&article.offset=0&articleLimit=100
90,5761,[대학원],2023-2학기 대학원별 전적대학원 학점인정 신청 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462025&article.offset=0&articleLimit=100
91,5760,[장학],2023년도 (재)광산장학회 장학생 선발 공고 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462020&article.offset=0&articleLimit=100
92,5759,[장학],춘천시민장학재단 2023년도 하반기 장학생 선발 안내,2023-09-07,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=462008&article.offset=0&articleLimit=100
93,5758,[대학원],2023-2학기 일반대학원 박사과정 학생 석사 초과이수학점 인정 신청 안내,2023-09-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461953&article.offset=0&articleLimit=100
94,5757,[수업],2023-2학기 전자출결시스템 앱설치 안내,2023-09-06,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461854&article.offset=0&articleLimit=100
95,5756,[수업],"10/2(월,임시공휴일) 휴강 및 국가공휴일 휴강에 따른 보강일(공휴일지정보강기간) 안내",2023-09-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461678&article.offset=0&articleLimit=100
96,5755,[대학원],2023-2학기 대학원별 외국어시험 결과 발표 안내,2023-09-05,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461647&article.offset=0&articleLimit=100
97,5754,[학적],2023학년도 전기(2024년 2월) 졸업예정자 졸업사정 내역 열람 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461551&article.offset=0&articleLimit=100
98,5753,[대학원],2023-2학기 대학원별 학위논문연구계획서 제출 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461498&article.offset=0&articleLimit=100
99,5752,[장학],2023년 2학기 푸른등대 KB Dream Wave 2030 인재양성 유망분야 기부장학금 신규장학생 선발 안내,2023-09-04,https://www.kumoh.ac.kr/ko/sub06_01_01_01.do?mode=view&articleNo=461393&article.offset=0&articleLimit=100
